hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 600.00000, 20.4454, 3.01475, 19.9947, 5.49906, 18.0686, 3.86663, 0, 0
0, 1200.00000, 20.2732, 2.97882, 19.8271, 5.44254, 17.9165, 3.82441, 0, 0
0, 1800.00000, 20.1688, 2.95708, 19.7256, 5.40852, 17.8242, 3.79903, 0, 0
0, 2400.00000, 20.4101, 3.00736, 19.9603, 5.48763, 18.0372, 3.85799, 0, 0
0, 3000.00000, 20.2385, 2.97159, 19.7934, 5.43121, 17.8858, 3.81596, 0, 0
1, 0.00000, 20.2722, 2.9786, 19.8263, 5.4424, 17.9155, 3.82427, 0, 0
1, 600.00000, 20.3069, 2.98584, 19.86, 5.45374, 17.9462, 3.83273, 0, 0
1, 1200.00000, 20.0308, 2.92845, 19.5914, 5.36342, 17.7023, 3.76544, 0, 0
1, 1800.00000, 19.6828, 2.85673, 19.253, 5.2507, 17.3946, 3.68149, 0, 0
1, 2400.00000, 19.5791, 2.83549, 19.1521, 5.21708, 17.3031, 3.65652, 0, 0
1, 3000.00000, 19.5096, 2.82129, 19.0845, 5.19466, 17.2416, 3.63986, 0, 0
2, 0.00000, 19.4402, 2.80715, 19.017, 5.17228, 17.1804, 3.62324, 0, 0
2, 600.00000, 19.1982, 2.75802, 18.7816, 5.09421, 16.9667, 3.56533, 0, 0
2, 1200.00000, 19.1282, 2.74388, 18.7135, 5.07188, 16.9047, 3.54875, 0, 0
2, 1800.00000, 19.1279, 2.74383, 18.7132, 5.07185, 16.9044, 3.54872, 0, 0
2, 2400.00000, 19.0934, 2.73686, 18.6796, 5.06074, 16.8739, 3.54049, 0, 0
2, 3000.00000, 19.1968, 2.75776, 18.7802, 5.09408, 16.9652, 3.56519, 0, 0
3, 0.00000, 19.1627, 2.75086, 18.7471, 5.08299, 16.9352, 3.55699, 0, 0
3, 600.00000, 19.128, 2.74386, 18.7133, 5.07186, 16.9046, 3.54874, 0, 0
3, 1200.00000, 19.0243, 2.72295, 18.6124, 5.03853, 16.813, 3.52404, 0, 0
3, 1800.00000, 18.6427, 2.6466, 18.2411, 4.91667, 16.476, 3.43385, 0, 0
3, 2400.00000, 18.332, 2.58495, 17.9387, 4.81759, 16.2018, 3.36072, 0, 0
3, 3000.00000, 18.1582, 2.5508, 17.7696, 4.7627, 16.0483, 3.32023, 0, 0
4, 0.00000, 18.054, 2.5304, 17.6682, 4.72984, 15.9563, 3.29602, 0, 0
4, 600.00000, 17.881, 2.49663, 17.4998, 4.67523, 15.8037, 3.25581, 0, 0
4, 1200.00000, 17.8459, 2.48984, 17.4656, 4.66431, 15.7726, 3.24777, 0, 0
4, 1800.00000, 17.7422, 2.46969, 17.3647, 4.63164, 15.6812, 3.22375, 0, 0
4, 2400.00000, 17.8799, 2.49651, 17.4987, 4.67521, 15.8025, 3.25578, 0, 0
4, 3000.00000, 17.9839, 2.51678, 17.6, 4.70796, 15.8943, 3.27989, 0, 0
5, 0.00000, 18.1223, 2.54386, 17.7347, 4.7517, 16.0165, 3.3121, 0, 0
